,tweet_id,user,created_on,tweet_text,fav_count,user_description,user_verified,user_follower_count,is_retweet,hashtags,is_quote,quote_text,tweetsProc,tweets_token,clusters
0,1380080901695053824,Nationalist_16,2021-04-08 08:51:42,"Pfizer was asked to produce their results thrice by the Vaccine Approval Body of India but they did not turn up, They wanted permission of DIRECT SALE (WITHOUT APPROVAL), When India refused they took back their application of direct sell and unleashed PR attack against GoI and PM",0,Retweets not my endorsement,False,187,1,[],0,None,pfizer asked produce result thrice vaccine approval body india turn wanted permission direct sale india refused took application direct sell unleashed attack goi,"{'result', 'direct', 'india', 'body', 'pfizer', 'took', 'turn', 'goi', 'attack', 'vaccine', 'asked', 'wanted', 'permission', 'application', 'thrice', 'sell', 'refused', 'produce', 'approval', 'unleashed', 'sale'}",1
1,1380080900306796544,Steve70673747,2021-04-08 08:51:41,"Samantha Jones .Former boss of a private healthcare Co. has been given a job as Boris Johnson's 
health advisor
She'll take up the post as an expert adviser for NHS Transformation &amp; Social care
She comes from Operose. The UK arm of US health insurance giant Centene

It begins",0,,False,201,1,[],0,None,samantha jones bos private healthcare given job boris health advisor post expert adviser transformation social care come arm health insurance giant centene begin,"{'boris', 'adviser', 'post', 'bos', 'social', 'transformation', 'jones', 'health', 'private', 'healthcare', 'job', 'begin', 'centene', 'come', 'care', 'samantha', 'giant', 'advisor', 'given', 'insurance', 'expert', 'arm'}",1
2,1380080899849515011,Muhammad1169,2021-04-08 08:51:41,"Over the last year, we’ve all witnessed the importance of global health firsthand. On this World Health Day and every day, the United States remains committed to working with the WHO and our partners to end COVID-19 and promote equitable, quality health care for all.",0,The best among you are those who have the best manners and character - Prophet Muhammad 🚢🌍🌎🌏🚢,False,18,1,[],0,None,witnessed importance global health world health day united state remains committed working partner end promote quality health care,"{'working', 'day', 'partner', 'importance', 'end', 'care', 'committed', 'witnessed', 'state', 'united', 'remains', 'quality', 'health', 'global', 'promote', 'world'}",1
3,1380080899346337794,YardleyShooting,2021-04-08 08:51:41,"If you talk to health workers, you will discover that significant reactions to the AstraZeneca vaccine are, in the real world, very common. The NHS itself has been badly effected by the impact of this. It has been a serious problem and impacted front line staffing. #RealNews",0,"I'm a writer, broadcaster, military historian & experimental psychologist. I campaign for Liberty, better political representation, and against PC censorship..",False,33727,1,[],0,None,talk health discover significant reaction astrazeneca vaccine real badly effected impact problem impacted line,"{'line', 'real', 'effected', 'reaction', 'problem', 'vaccine', 'astrazeneca', 'impact', 'talk', 'significant', 'health', 'discover', 'badly', 'impacted'}",1
4,1380080899061022720,wenz66,2021-04-08 08:51:41,"This - all of this - just because Boris Johnson wanted to become prime minister

Like the ending of some badly staged grand opera, the set and scenery are now collapsing around the supposed hero",0,💧twitterer | troublemaker | chaotic neutral | problem solver | snowflake | nasty woman | resistor (😷) #BidenHarris1202021,False,2973,1,[],0,None,boris johnson wanted prime minister like ending badly staged grand set scenery collapsing supposed hero,"{'grand', 'boris', 'set', 'wanted', 'prime', 'scenery', 'staged', 'minister', 'like', 'ending', 'supposed', 'johnson', 'hero', 'badly', 'collapsing'}",4
5,1380080898696171526,benbrookjohn,2021-04-08 08:51:41,"would like to get 3,000 followers

to get my covid info circulated",0,"Defending America Against Enemies Foreign and DOMESTIC 
 MOS:95B A9/P5",False,4982,1,[],0,None,like follower covid info circulated,"{'circulated', 'covid', 'info', 'follower', 'like'}",3
6,1380080898423537666,maggierobson,2021-04-08 08:51:41,"We had a United Kingdom to be proud of, we had a tolerant and welcoming society, we had peace in N Ireland. We had relative security and prosperity within the EU. We had freedom of movement. We abided by the rule of law. Then we had Brexit and Boris Johnson. Now we have chaos.",0,Incredulous at incompetent and uncaring govt.  NHS must be protected at all costs.  As must our rights to demonstrate. Honesty and diligence from MP's please,False,3510,1,[],0,None,united kingdom proud tolerant welcoming peace relative security prosperity freedom abided rule brexit boris,"{'boris', 'kingdom', 'peace', 'security', 'abided', 'rule', 'prosperity', 'united', 'welcoming', 'brexit', 'tolerant', 'relative', 'freedom', 'proud'}",4
7,1380080898230587392,Twilogsteps,2021-04-08 08:51:41,The latest Twilog steps! https://t.co/67dLDCXVLv #digital #covid_19,0,█►Για όλα και όχι για όλους◄█  🧭️,False,336,1,"['digital', 'covid_19']",0,None,latest twilog,"{'twilog', 'latest'}",1
8,1380080898197090313,BeerRiffBrewing,2021-04-08 08:51:41,Bar owner has to find Covid case within a mile to claim on his insurance https://t.co/O4ptX8zulL,0,,False,610,1,[],0,None,bar owner covid case mile claim insurance,"{'mile', 'covid', 'bar', 'claim', 'insurance', 'owner', 'case'}",5
9,1380080898020810752,A_Pratap_Singh,2021-04-08 08:51:41,"Vaccines released by Central Govt. today:
Maharashtra - 7.5 lakh
UP - 48 lakh 
MP - 40 lakh 
Guj - 30 lakh 
Haryana - 24 lakh
Those mocking MVA 4 lockdown must understand tht if Modi shows so much love 4 us, only way 2 curb spread is restrictions on movement of people.

#vaccine",0,"मां का चमचा , भारतीय",False,163,1,[],0,None,vaccine released central maharashtra lakh lakh lakh guj lakh haryana lakh mocking mva lockdown understand tht modi love way curb spread restriction movement,"{'lakh', 'restriction', 'haryana', 'central', 'lockdown', 'spread', 'modi', 'vaccine', 'mva', 'tht', 'guj', 'maharashtra', 'way', 'movement', 'released', 'mocking', 'understand', 'love', 'curb'}",0
10,1380080897865744385,PaulineLeeson,2021-04-08 08:51:41,"From 12 noon today, people aged 40-44 will be able to book their #COVID19 vaccination appointments.

More info ➡️ https://t.co/sBv9FipJqH

Book online ➡️ https://t.co/0Rizp8bKO6 https://t.co/YQxg5ZQvNX",0,Chief Executive of Children in Northern Ireland [ umbrella organisation for the children's sector] Tweets my own. RTs not an endorsement,False,1044,1,['COVID19'],0,None,noon people aged able book vaccination info book online,"{'able', 'info', 'noon', 'aged', 'vaccination', 'book', 'people', 'online'}",1
11,1380080897773424643,Saltaylor17,2021-04-08 08:51:41,"@Alan__020 I have flu jab every year and have had many jabs over the years for travel, and never gloves were worn, they wash hands before and after, and use an alcohol swab on arm.",0,"Cheers to Boris, 🍻
Well done to all those Brexiteers that never gave up. 
 🇬🇧 🇬🇧 🇬🇧",False,891,1,[],0,None,flu jab year jab year glove wash hand use alcohol swab,"{'jab', 'use', 'wash', 'swab', 'flu', 'alcohol', 'year', 'glove', 'hand'}",1
12,1380080897693777922,McgrottyJock,2021-04-08 08:51:41,"I can’t stress this strongly enough. It appalls me that after everything NHS staff have endured; the sacrifices, rates of long-COVID, the hundreds upon hundreds of deaths of our friends and co-workers on the frontline, @UKLabour are STILL not pushing for a defined NHS pay rise🚨",0,"I was there when Jimmy Reid gave his ""There’ll be no bevying"" speech at the UCS workers occupation. Freedom Come All Ye! NO DMs please.",False,3106,1,[],0,None,stress strongly appalls staff rate death friend pushing defined pay rise,"{'defined', 'strongly', 'friend', 'rate', 'stress', 'death', 'pushing', 'rise', 'appalls', 'staff', 'pay'}",1
