,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
0,vaccination,new,got,johnson,india,vaccine,covid
1,crime,case,second,boris,flight,appointment,hospital
2,hate,apr,pfizer,ron,pakistan,available,patient
3,coronavirus,death,moderna,dyson,case,dos,oxygen
4,senate,access,shot,tory,canada,getting,bed
5,jab,reported,dose,text,ban,clinic,like
6,government,coronavirus,getting,tax,record,rollout,positive
7,read,report,arm,super,variant,vaccinated,delhi
8,health,york,vaccine,climate,trudeau,people,test
9,american,walgreens,feeling,prime,day,passport,time
